Domain_Age,sld,oc_8,Emails,hex_32,Domain_Name,puny_coded,Page_Rank,Alexa_Rank,3gram,distance_from_bad_words,Country,hex_8,oc_32,len,typos,Registrar,dec_8,2gram,State,1gram,obfuscate_at_sign,entropy,numeric_percentage,Registrant_Name,subdomain,char_distribution,shortened,longest_word,Name_Server_Count,dec_32,Creation_Date_Time,Organization,tld,
"136 days, 2:56:04.883605",900259,0,"['abuse@gmo.jp', 'proxy@whoisprotectservice.com']",0,"['0900259.COM', '0900259.com']",0,,-1,"['090', '900', '002', '025', '259']","{'2': 5.740530303030303, '0': 5.744318181818182, '9': 5.744318181818182, '5': 5.742424242424242}",JP,0,0,8,"[('qq.com', 86), ('vk.com', 86)]","GMO INTERNET, INC.",0,"['09', '90', '00', '02', '25', '59']",Tokyo,"['0', '9', '0', '0', '2', '5', '9']",0,1.7806390622,53.8461538462,,0,"defaultdict(<class 'int'>, {'2': 1, '9': 2, '0': 3, '5': 1})",-1,9,4,0,2019-06-11 12:32:01,Whois Privacy Protection Service by onamae.com,com,
"136 days, 2:56:19.517778",koitera,0,"['abuse@gmo.jp', 'proxy@whoisprotectservice.com']",0,"['KOITERA.NET', 'koitera.net']",0,,-1,"['koi', 'oit', 'ite', 'ter', 'era']","{'ko': 5.331439393939394, 'it': 5.178030303030303, 'era': 5.15530303030303}",JP,0,0,8,"[('php.net', 86), ('a8.net', 86)]","GMO INTERNET, INC.",0,"['ko', 'oi', 'it', 'te', 'er', 'ra']",Tokyo,"['k', 'o', 'i', 't', 'e', 'r', 'a']",0,2.625,0,,0,"defaultdict(<class 'int'>, {'k': 1, 'a': 1, 'o': 1, 'e': 1, 't': 1, 'i': 1, 'r': 1})",-1,era,8,0,2019-06-11 12:31:48,Whois Privacy Protection Service by onamae.com,net,
"1282 days, 10:44:37.906362",koitera,0,"['abuse@gmo.jp', 'proxy@whoisprotectservice.com']",0,"['KOITERA.COM', 'koitera.com']",0,,7119972,"['koi', 'oit', 'ite', 'ter', 'era']","{'ko': 5.331439393939394, 'it': 5.178030303030303, 'era': 5.15530303030303}",JP,0,0,8,"[('qq.com', 86), ('vk.com', 86)]","GMO INTERNET, INC.",0,"['ko', 'oi', 'it', 'te', 'er', 'ra']",Tokyo,"['k', 'o', 'i', 't', 'e', 'r', 'a']",0,2.625,0,,0,"defaultdict(<class 'int'>, {'k': 1, 'a': 1, 'o': 1, 'e': 1, 't': 1, 'i': 1, 'r': 1})",-1,era,8,0,2016-04-21 04:43:31,Whois Privacy Protection Service by onamae.com,com,
"1282 days, 10:44:39.322353",koitera,0,"['abuse@gmo.jp', 'proxy@whoisprotectservice.com']",0,"['KOITERA.COM', 'koitera.com']",0,,7119972,"['koi', 'oit', 'ite', 'ter', 'era']","{'ko': 5.331439393939394, 'it': 5.178030303030303, 'era': 5.15530303030303}",JP,0,0,10,"[('qq.com', 86), ('vk.com', 86)]","GMO INTERNET, INC.",0,"['ko', 'oi', 'it', 'te', 'er', 'ra']",Tokyo,"['k', 'o', 'i', 't', 'e', 'r', 'a']",0,2.9897352854,0,,1,"defaultdict(<class 'int'>, {'k': 1, 'p': 1, 'o': 1, 'i': 1, 't': 1, 'a': 1, 'c': 1, 'r': 1, 'e': 1})",-1,era,8,0,2016-04-21 04:43:31,Whois Privacy Protection Service by onamae.com,com,
"136 days, 2:56:20.715816",901360,0,"['abuse@gmo.jp', 'proxy@whoisprotectservice.com']",0,"['0901360.COM', '0901360.com']",0,,-1,"['090', '901', '013', '136', '360']","{'3': 5.744318181818182, '6': 5.744318181818182, '9': 5.744318181818182, '0': 5.744318181818182, '1': 5.740530303030303}",JP,0,0,8,"[('qq.com', 86), ('vk.com', 86)]","GMO INTERNET, INC.",0,"['09', '90', '01', '13', '36', '60']",Tokyo,"['0', '9', '0', '1', '3', '6', '0']",0,2.0306390622,53.8461538462,,0,"defaultdict(<class 'int'>, {'3': 1, '6': 1, '9': 1, '0': 3, '1': 1})",-1,0,4,0,2019-06-11 12:31:51,Whois Privacy Protection Service by onamae.com,com,
"136 days, 2:56:24.803674",koitera,0,"['abuse@gmo.jp', 'proxy@whoisprotectservice.com']",0,"['KOITERA.NET', 'koitera.net']",0,,-1,"['koi', 'oit', 'ite', 'ter', 'era']","{'ko': 5.331439393939394, 'it': 5.178030303030303, 'era': 5.15530303030303}",JP,0,0,8,"[('php.net', 86), ('a8.net', 86)]","GMO INTERNET, INC.",0,"['ko', 'oi', 'it', 'te', 'er', 'ra']",Tokyo,"['k', 'o', 'i', 't', 'e', 'r', 'a']",0,2.625,0,,0,"defaultdict(<class 'int'>, {'k': 1, 'a': 1, 'o': 1, 'e': 1, 't': 1, 'i': 1, 'r': 1})",-1,era,8,0,2019-06-11 12:31:48,Whois Privacy Protection Service by onamae.com,net,
"1282 days, 10:44:43.147851",koitera,0,"['abuse@gmo.jp', 'proxy@whoisprotectservice.com']",0,"['KOITERA.COM', 'koitera.com']",0,,7119972,"['koi', 'oit', 'ite', 'ter', 'era']","{'ko': 5.331439393939394, 'it': 5.178030303030303, 'era': 5.15530303030303}",JP,0,0,8,"[('qq.com', 86), ('vk.com', 86)]","GMO INTERNET, INC.",0,"['ko', 'oi', 'it', 'te', 'er', 'ra']",Tokyo,"['k', 'o', 'i', 't', 'e', 'r', 'a']",0,2.625,0,,0,"defaultdict(<class 'int'>, {'k': 1, 'a': 1, 'o': 1, 'e': 1, 't': 1, 'i': 1, 'r': 1})",-1,era,8,0,2016-04-21 04:43:31,Whois Privacy Protection Service by onamae.com,com,
"1282 days, 10:44:44.498213",koitera,0,"['abuse@gmo.jp', 'proxy@whoisprotectservice.com']",0,"['KOITERA.COM', 'koitera.com']",0,,7119972,"['koi', 'oit', 'ite', 'ter', 'era']","{'ko': 5.331439393939394, 'it': 5.178030303030303, 'era': 5.15530303030303}",JP,0,0,10,"[('qq.com', 86), ('vk.com', 86)]","GMO INTERNET, INC.",0,"['ko', 'oi', 'it', 'te', 'er', 'ra']",Tokyo,"['k', 'o', 'i', 't', 'e', 'r', 'a']",0,2.9897352854,0,,1,"defaultdict(<class 'int'>, {'k': 1, 'p': 1, 'o': 1, 'i': 1, 't': 1, 'a': 1, 'c': 1, 'r': 1, 'e': 1})",-1,era,8,0,2016-04-21 04:43:31,Whois Privacy Protection Service by onamae.com,com,
"136 days, 2:56:27.867104",902471,0,"['abuse@gmo.jp', 'proxy@whoisprotectservice.com']",0,"['0902471.COM', '0902471.com']",0,,-1,"['090', '902', '024', '247', '471']","{'9': 5.744318181818182, '4': 5.744318181818182, '0': 5.744318181818182, '2': 5.740530303030303, '7': 5.744318181818182, '1': 5.740530303030303}",JP,0,0,8,"[('qq.com', 86), ('vk.com', 86)]","GMO INTERNET, INC.",0,"['09', '90', '02', '24', '47', '71']",Tokyo,"['0', '9', '0', '2', '4', '7', '1']",0,2.375,53.8461538462,,0,"defaultdict(<class 'int'>, {'0': 2, '9': 1, '2': 1, '1': 1, '7': 1, '4': 1})",-1,1,4,0,2019-06-11 12:31:49,Whois Privacy Protection Service by onamae.com,com,
"136 days, 2:56:29.868788",koitera,0,"['abuse@gmo.jp', 'proxy@whoisprotectservice.com']",0,"['KOITERA.NET', 'koitera.net']",0,,-1,"['koi', 'oit', 'ite', 'ter', 'era']","{'ko': 5.331439393939394, 'it': 5.178030303030303, 'era': 5.15530303030303}",JP,0,0,8,"[('php.net', 86), ('a8.net', 86)]","GMO INTERNET, INC.",0,"['ko', 'oi', 'it', 'te', 'er', 'ra']",Tokyo,"['k', 'o', 'i', 't', 'e', 'r', 'a']",0,2.625,0,,0,"defaultdict(<class 'int'>, {'k': 1, 'a': 1, 'o': 1, 'e': 1, 't': 1, 'i': 1, 'r': 1})",-1,era,8,0,2019-06-11 12:31:48,Whois Privacy Protection Service by onamae.com,net,
